1	LE	0.0000	0.0000	1	0	0.0	0.0000
2	U01	0.0025	0.0087	0	0	0.4	1.3075
3	U02	0.0094	0.0165	1	1	1.4	2.4782
4	U03	0.0188	0.0229	0	1	2.8	3.4353
5	U04	0.0313	0.0289	1	2	4.7	4.3391
6	U05	0.0438	0.0336	0	2	6.6	5.0345
7	U06	0.0563	0.0374	1	3	8.4	5.6039
8	U07	0.0719	0.0413	0	3	10.8	6.1945
9	U08	0.0875	0.0446	1	4	13.1	6.6863
10	U09	0.1063	0.0478	0	4	15.9	7.1774
11	U10	0.1250	0.0506	1	5	18.8	7.5831
12	U11	0.1500	0.0535	0	5	22.5	8.0177
13	U12	0.1750	0.0557	1	6	26.3	8.3532
14	U13	0.2125	0.0580	0	6	31.9	8.7060
15	U14	0.2563	0.0596	1	7	38.4	8.9339
16	U15	0.3125	0.0600	0	7	46.9	8.9972
17	U16	0.3750	0.0589	1	8	56.3	8.8294
18	U17	0.4313	0.0567	0	8	64.7	8.5083
19	U18	0.4938	0.0533	1	9	74.1	7.9996
20	U19	0.5500	0.0495	0	9	82.5	7.4286
21	U20	0.6125	0.0446	1	10	91.9	6.6891
22	U21	0.6813	0.0384	0	10	102.2	5.7658
23	U22	0.7438	0.0323	1	11	111.6	4.8377
24	U23	0.7969	0.0266	0	11	119.5	3.9865
25	U24	0.8500	0.0205	1	12	127.5	3.0788
26	U25	0.9000	0.0145	0	12	135.0	2.1716
27	U26	0.9500	0.0081	1	13	142.5	1.2098
28	TE	1.0000	0.0013	0	13	150.0	0.1890
30	L01	0.0031	-0.0097	1	15	0.5	    -1.4580
31	L02	0.0113	-0.0180	0	14	1.7	    -2.7026
32	L03	0.0225	-0.0249	1	16	3.4	    -3.7373
33	L04	0.0350	-0.0304	0	15	5.3	    -4.5645
34	L05	0.0500	-0.0355	1	17	7.5	    -5.3320
35	L06	0.0688	-0.0406	0	16	10.3	-6.0852
36	L07	0.1000	-0.0468	1	18	15.0	-7.0242
37	L08	0.1313	-0.0513	0	17	19.7	-7.7023
38	L09	0.1750	-0.0557	1	19	26.3	-8.3532
39	L10	0.2313	-0.0588	0	18	34.7	-8.8254
40	L11	0.3063	-0.0600	1	20	45.9	-9.0012
41	L12	0.3938	-0.0583	0	19	59.1	-8.7385
42	L13	0.4938	-0.0533	1	21	74.1	-7.9996
43	L14	0.5938	-0.0461	0	20	89.1	-6.9216
44	L15	0.7000	-0.0366	1	22	105.0	-5.4959
45	L16	0.8063	-0.0255	0	21	120.9	-3.8304
46	L17	0.9000	-0.0145	1	23	135.0	-2.1716
